timestamp,process_change,time_start_pre,time_stop_pre,duration_focused_pre,time_start_post,time_stop_post,duration_focused_post_1,errands_pre,meet_shift_to_online,tech_challenges,child_challenges,assist_coworkers,how_often_low_energy,how_often_poor_concentration,how_often_anxiety,how_often_less_work,how_often_poor_quality,how_often_more_mistakes,how_often_coworker_problem,job_category,postal_code,year_of_birth,sex,gender,race,process_change_elab,wfh,location,duration_focus_post_2,isolation_date,errand_time,tech_changes
3/26/2020 6:07:30,"I purchased a monitor, it was difficult to do the functionality of my job on a small laptop screen",8:45:00 AM,6:10:00 PM,6-7 hours,8:45:00 AM,6:30:00 PM,7-8 hours,Random,Skype,Any Other,,,Some of the time (25%),Some of the time (25%),None of the time (0%),Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),"Professional, Scientific, and Technical Services",78412,Option 1,Female,Woman,Asian,,,,,,,
3/26/2020 6:24:32,No,8:45:00 AM,5:00:00 PM,6-7 hours,8:45:00 AM,5:00:00 PM,6-7 hours,,Skype,,No,No,Some of the time (25%),Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),Finance and Insurance,11040,Option 1,Male,Man,White/Caucasian,,,,,,,
3/26/2020 6:27:31,Yes,9:00:00 AM,5:15:00 PM,6-7 hours,9:00:00 AM,,6-7 hours,Random,Skype,Printer,no,Yes,None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),Finance and Insurance,19702,,Male,Man,Asian,,,,,,,
3/26/2020 7:17:35,No,8:30:00 AM,5:00:00 PM,6-7 hours,8:30:00 AM,5:00:00 PM,6-7 hours,12PM - 3PM,Skype,Any Other,Children are college age.,Gave out my cell number,Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),Information,10463,Option 1,Female,Woman,White/Caucasian,,,,,,,
3/26/2020 11:30:52,Yes. No major process change but big change regarding communication. Much more use of Slack app. ,9:00:00 AM,6:30:00 PM,5-6 hours,9:00:00 AM,6:30:00 PM,Less than 5 hours,3PM and later,Any other,Printer,YES,Share pictures of personal activities performed with kids. Send more tips and details of what I am doing and how I adapt my work.,Some of the time (25%),Some of the time (25%),Half the time (50%),Half the time (50%),Some of the time (25%),Some of the time (25%),None of the time (0%),Other Services (except Public Administration),11215,Option 1,Male,Man,White/Caucasian,,,,,,,
3/27/2020 19:54:08,"sort of. I just put my laptop on a desk, which is usually on my lap because I am used to carrying it around a lot. Now it's stationary since I don't go anywhere so that's why I put i ton the desk.",7:00:00 AM,6:00:00 PM,More than 8 hours,8:00:00 AM,8:00:00 PM,6-7 hours,Random,Zoom,Any Other,no kids,no,Half the time (50%),Half the time (50%),None of the time (0%),Most of the time (75%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Educational Services,92374,Option 1,Male,Man,"White/Caucasian, Hispanic/Latino/Latinx",,,,,,,
3/28/2020 1:54:17,"Yes, daily huddle with my manager and subordinates",9:30:00 AM,6:00:00 PM,6-7 hours,9:30:00 AM,4:00:00 PM,5-6 hours,Random,Zoom,,NA,None,Some of the time (25%),Some of the time (25%),None of the time (0%),Some of the time (25%),None of the time (0%),Some of the time (25%),Some of the time (25%),Finance and Insurance,94403,Option 1,Male,Man,Asian,,,,,,,
3/28/2020 2:01:38,No,10:00:00 AM,5:00:00 PM,5-6 hours,10:00:00 AM,5:00:00 PM,Less than 5 hours,3PM and later,Zoom,Internet,,,Half the time (50%),Some of the time (25%),None of the time (0%),Half the time (50%),Some of the time (25%),None of the time (0%),Half the time (50%),Information,94063,Option 1,Male,Man,Asian,,,,,,,
3/28/2020 2:01:46,No,10:00:00 AM,5:00:00 PM,5-6 hours,10:00:00 AM,5:00:00 PM,Less than 5 hours,3PM and later,Zoom,Internet,,,Half the time (50%),Some of the time (25%),None of the time (0%),Half the time (50%),Some of the time (25%),None of the time (0%),Half the time (50%),Information,94063,Option 1,Male,Man,Asian,,,,,,,
3/28/2020 11:33:34,No,9:00:00 AM,5:30:00 PM,5-6 hours,8:00:00 AM,6:00:00 AM,Less than 5 hours,Random,Any other,Any Other,No,I have taken on certain tasks in order to ease the burden on team members who are busy with parenting.,Some of the time (25%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Some of the time (25%),None of the time (0%),None of the time (0%),Information,98109,Option 1,Male,Man,White/Caucasian,,,,,,,
4/3/2020 21:05:36,Yes,7:30:00 AM,4:00:00 PM,50% to 75%,8:00:00 AM,6:00:00 PM,,Yes,"Skype, Zoom",Yes,"no kids, thank God","not really, just trying to be flexible with everyone's schedule",Half the time (50%),Half the time (50%),None of the time (0%),Half the time (50%),Some of the time (25%),Some of the time (25%),None of the time (0%),Educational Services,92374,1983,Male,Man,"White/Caucasian, Hispanic/Latino/Latinx","I typically work at coffee shops when I'm working from home, which is now closed. The best I can do is put on coffee shop background music to help out. ","Yes, and I was already WFH prior to isolation.","Redlands, CA USA",Between 25% and 50%,3/15/2020,Random,"Printer, I don't have a printer"
4/4/2020 19:07:20,Yes,9:30:00 AM,6:00:00 PM,50% to 75%,10:00:00 AM,3:00:00 PM,,Yes,Zoom,No,No not at all . I lock myself up in a room when I work .,No,Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),Other Services (except Public Administration),500027,1988,Male,Man,Asian,Daily reporting and team interactions on VC,"Yes, and I just began WFH due to isolation.",Hyderabad Telangana India,Between 25% and 50%,3/17/2020,,
4/4/2020 19:33:03,,9:00:00 AM,6:30:00 AM,50% to 75%,,,,,,,,,None of the time (0%),None of the time (0%),Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),Some of the time (25%),Finance and Insurance,Gurugram 1220018,1975,Male,Woman,Asian,,"No, I am working at my regular job in-person.","Gurugram , Haryana , India",,3/23/2020,,
4/4/2020 22:50:46,Yes,8:30:00 AM,5:30:00 PM,More than 75% of the time,8:45:00 AM,5:20:00 PM,,No,Any other,Yes,Do not have children ,"Yes, I helped set understand the Microsoft teams software in setting up assignments, quizzes and test",Some of the time (25%),None of the time (0%),Most of the time (75%),None of the time (0%),Some of the time (25%),None of the time (0%),None of the time (0%),Educational Services,110031,1976,Male,Man,Asian,"There is a big difference in working remotely when you work on your own and working well as a remote team. When being remote we often believe that there are less noise and communication needed, so we are more effective as a result. It is true if you rarely pull remote days. But if you work remotely full time, it’s quite the opposite – you and your team need to communicate a lot. And then communicate some more. And to be sure everyone has all information needed, you communicate just a bit more. You get to choose, when do you read chats, when do you have calls and so on. It’s no longer noise or disruption that you must deal with immediately. It’s hard and requires practice. But once you commit to prioritizing communication as a team, you will notice that random distractions will turn into a concrete flow of useful information.","Yes, and I was already WFH prior to isolation.","Delhi, Delhi and India",More than 75% of the time,3/20/2020,Random,Printer
4/5/2020 1:36:54,Yes,9:00:00 AM,6:00:00 AM,More than 75% of the time,8:00:00 AM,5:00:00 AM,,Yes,"Skype, Zoom, WebEx",No,"I made sure my children are engaged with activities like drawing, painting, reading etc so that they don’t disturb me",Advise them not to panic & stay calm,Some of the time (25%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Information,500016,1972,Female,Woman,Asian,I made sure to clean my devices before work & also sanitise my hands at regular intervals,"Yes, and I was already WFH prior to isolation.","Hyderabad, Telangana, India",50% to 75%,3/14/2020,Random,
4/5/2020 12:02:25,Yes,9:30:00 AM,6:00:00 PM,25% or less,8:30:00 AM,5:30:00 PM,,Yes,Zoom,No,"I AM children! jk, N/A",Daily check ins,Half the time (50%),Half the time (50%),Some of the time (25%),Half the time (50%),None of the time (0%),None of the time (0%),Some of the time (25%),Information,94105,,Female,Woman,Asian,"New monitor, little computer desk to just put my keyboards in an ergonomic height","Yes, and I just began WFH due to isolation.","San Francisco, CA",50% to 75%,3/9/2020,12PM - 3PM,
4/5/2020 12:05:13,Yes,8:15:00 AM,5:00:00 PM,More than 75% of the time,8:00:00 AM,6:00:00 PM,,Yes,Any other,No,No children. ,Ask them to call me / RingCentral anytime if they need help rather than waiting for my reply. ,Some of the time (25%),Some of the time (25%),None of the time (0%),Some of the time (25%),None of the time (0%),Some of the time (25%),None of the time (0%),Information,43016,1994,Male,Man,Asian,"Everyone in my company has setup a RingCentral account so we can host meetings and do screen shares any time.
During the first few weeks of quarantine everyone needs to do a write up of what they did each day, but that’s abandoned because it’s not necessary.","Yes, and I just began WFH due to isolation.",Dublin OH,More than 75% of the time,3/2/2020,12PM - 3PM,
4/5/2020 12:47:52,Yes,8:15:00 AM,5:15:00 AM,Between 25% and 50%,8:00:00 AM,5:00:00 PM,,Yes,Did not shift and meetings were curtailed,Yes,,,Most of the time (75%),Most of the time (75%),Most of the time (75%),Most of the time (75%),Most of the time (75%),Most of the time (75%),Most of the time (75%),Finance and Insurance,33130,1991,Male,Man,White/Caucasian,bought an additional monitor,"Yes, and I just began WFH due to isolation.",miami,Between 25% and 50%,3/16/2020,Random,Internet
4/5/2020 13:03:43,Yes,9:30:00 AM,6:00:00 PM,Between 25% and 50%,8:00:00 AM,7:00:00 PM,,Yes,Zoom,Yes,,,Some of the time (25%),Some of the time (25%),None of the time (0%),Half the time (50%),Some of the time (25%),None of the time (0%),None of the time (0%),Information,256,1991,Male,Man,African-American/Black,"Created a daily routine including exercise, when to have meals, rest etc","Yes, and I just began WFH due to isolation.",Kampala,Between 25% and 50%,3/20/2020,3PM and later,Internet
4/5/2020 13:11:08,Yes,8:30:00 AM,5:00:00 PM,50% to 75%,8:00:00 AM,7:30:00 PM,,Yes,Zoom,No,No,No,None of the time (0%),Some of the time (25%),Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),Information,94158,1976,Male,Man,Asian,Making coffee after lunch (before starting afternoon work) as a routine to motivate to do afternoon work,"Yes, and I just began WFH due to isolation.","San Francisco, CA",Between 25% and 50%,3/16/2020,12PM - 3PM,
4/5/2020 14:07:10,Yes,9:00:00 AM,6:00:00 PM,More than 75% of the time,9:00:00 AM,6:30:00 PM,,No,Any other,No,,Chat with them more. VC more often rather than messaging. ,Most of the time (75%),Half the time (50%),Most of the time (75%),All of the time (100%),Some of the time (25%),Some of the time (25%),None of the time (0%),Information,94089,1994,Female,Woman,Asian,Over-communicate with co-workers. ,"Yes, and I just began WFH due to isolation.","Sunnyvale, CA",Between 25% and 50%,3/9/2020,9AM - 12PM,
